Date,Police_ref,Easting,Northing,Veh_ref,Cas_ref,Severity,Road_cond,Visibility,Casualties,Pedestrian,Cycles,P2W,OAPs,Children,Manoeuvre,Time,Vehicles,Roadclass1,Roadnum1,Road_Type,Speed_Lim,Junct_det,Junct_ctrl,Roadclass2,Roadnum2,Cross_ctrl,Cross_fac,Weather,SpCond,Carr_haz,Day,DfTSp,Location,Local_Auth,ReportedAt,Parish
20170103,17151232,524492,291872,,,3. Slight,4. Frost/Ice,1. Daylight,2,0,0,0,0,0,0. No turn,08:40,1,6. Unclassified,0,6. Single carriageway,60,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,3. Tuesday,,STRAIGHT DROVE 200M SOUTH EAST OF MILL FARM,E07000011,1. Yes,78
20170103,17152554,553022,278499,,,2. Serious,1. Dry,6. Darkness: no street lighting,1,0,0,0,0,0,0. No turn,02:35,2,3. A,10,6. Single carriageway,60,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,3. Tuesday,,CAMBRIDGE ROAD A10 300 METRES SOUTH OF JUNCTION WITH ANGEL DROVE A142,E07000009,1. Yes,73
20170103,17162968,519652,293916,,,1. Fatal,1. Dry,1. Daylight,2,2,0,0,0,0,0. No turn,11:10,1,4. B,1091,6. Single carriageway,40,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,3. Tuesday,,BROADWAY B1091 360M NORTH OF FALCON WAY,E07000011,1. Yes,78
20170103,17168657,529413,287935,,,3. Slight,1. Dry,6. Darkness: no street lighting,1,0,0,0,0,0,0. No turn,00:01,1,5. C,86,6. Single carriageway,60,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,3. Tuesday,,BODSEY TOLL ROAD 100M SOUTH OF WELLSBRIDGE,E07000011,1. Yes,184
20170103,17146547,541874,297133,,,3. Slight,1. Dry,4. Darkness: street lights present and lit,1,0,0,0,1,0,2. Right turn,22:49,2,4. B,1101,6. Single carriageway,30,3. T & Stag Jct,4. Give way or Uncontrolled,6. Unclassified,0,0. None,0. None within 50m,9. Unknown,0. None,0. None,3. Tuesday,,"STATION ROAD, BETWEEN NORWOOD AVENUE AND ST JOHNS ROAD",E07000010,1. Yes,154
20170104,17146767,558448,254271,,,3. Slight,2. Wet/Damp,1. Daylight,1,0,0,0,0,0,0. No turn,15:17,2,6. Unclassified,0,9. Unknown,30,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,8. Other,7. Mud,0. None,4. Wednesday,,SIX MILE BOTTOM ROAD AT BEND NEAR WADLOW FARM COTTAGE,E07000012,1. Yes,240
20170104,17147177,524951,272893,,,3. Slight,1. Dry,6. Darkness: no street lighting,1,1,0,0,1,0,0. No turn,18:45,1,6. Unclassified,0,6. Single carriageway,30,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,4. Wednesday,,OUTSIDE NUMBER 22 HAMLET CLOSE,E07000011,2. No - accident was reported 'over the counter',126
20170104,17147265,544973,259335,,,2. Serious,1. Dry,4. Darkness: street lights present and lit,1,1,0,0,0,0,0. No turn,19:45,1,3. A,1303,6. Single carriageway,30,3. T & Stag Jct,4. Give way or Uncontrolled,6. Unclassified,0,0. None,1. Zebra crossing,1. Fine without high winds,0. None,0. None,4. Wednesday,,CHESTERTON ROAD ZEBRA CROSSING 3 METRES WEST OF JUNCTION WITH CARLYLE ROAD,E07000008,1. Yes,37
20170104,17147308,535855,265651,,,3. Slight,2. Wet/Damp,6. Darkness: no street lighting,1,0,0,0,0,0,0. No turn,06:12,2,3. A,14,3. Dual carriageway,70,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,4. Wednesday,,A14 200 METRES EAST OF JUNCTION WITH BUCKING WAY ROAD,E07000012,1. Yes,215
20170104,17154650,526402,277978,,,3. Slight,1. Dry,6. Darkness: no street lighting,1,0,0,0,0,0,0. No turn,17:30,1,6. Unclassified,0,6. Single carriageway,60,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,4. Wednesday,,RAMSEY ROAD 150 METRES SOUTH OF JUNCTION WITH SCHOOL ROAD,E07000011,1. Yes,29
20170104,17173363,525150,273580,,,3. Slight,4. Frost/Ice,4. Darkness: street lights present and lit,1,0,0,0,0,0,2. Right turn,17:10,2,5. C,113,6. Single carriageway,40,9. Other,4. Give way or Uncontrolled,6. Unclassified,0,0. None,0. None within 50m,8. Other,0. None,0. None,4. Wednesday,,SAPLEY ROAD JUNCTION WITH CONEYGEAR ROAD,E07000011,1. Yes,126
20170104,17256833,524869,260037,,,3. Slight,1. Dry,1. Daylight,2,0,0,0,0,0,2. Right turn,13:30,2,3. A,428,6. Single carriageway,30,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,4. Wednesday,,"EASTBOUND A428  AT JUNCTION WITH HIGH STREET, CROXTON",E07000012,1. Yes,56
20170104,17142543,562724,254955,,,1. Fatal,1. Dry,1. Daylight,1,1,0,0,0,0,0. No turn,14:24,1,4. B,1052,6. Single carriageway,40,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,4. Wednesday,,BRINKLEY ROAD B1052,E07000009,1. Yes,28
20170105,17147297,521962,266806,,,2. Serious,1. Dry,1. Daylight,1,1,0,0,0,0,0. No turn,15:20,1,4. B,1043,6. Single carriageway,30,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,5. Thursday,,OUTSIDE OLD SCHOOL HOUSE HIGH STREET B1043,E07000011,2. No - accident was reported 'over the counter',167
20170105,17146800,546349,256664,,,2. Serious,1. Dry,4. Darkness: street lights present and lit,1,0,1,0,0,0,2. Right turn,17:30,2,6. Unclassified,,6. Single carriageway,30,3. T & Stag Jct,4. Give way or Uncontrolled,6. Unclassified,,0. None,0. None within 50m,9. Unknown,0. None,0. None,5. Thursday,,CHERRY HINTON ROAD AT JN WITH RUSTAT ROAD,E07000008,2. No - accident was reported 'over the counter',0
20170105,17146819,546307,257818,,,3. Slight,1. Dry,4. Darkness: street lights present and lit,1,0,0,0,0,0,2. Right turn,18:57,2,5. C,280,6. Single carriageway,20,6. Crossroads,4. Give way or Uncontrolled,6. Unclassified,0,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,5. Thursday,,MILL ROAD DEVONSHIRE ROAD CROSSROADS,E07000008,1. Yes,37
20170106,17147077,541828,265106,,,3. Slight,2. Wet/Damp,4. Darkness: street lights present and lit,1,0,0,0,0,0,2. Right turn,18:00,1,5. C,197,6. Single carriageway,30,6. Crossroads,2. Automatic traffic signal,6. Unclassified,0,0. None,5. Ped. phase at traffic signal junction,8. Other,0. None,0. None,6. Friday,,GUIDED BUS TRACKS STATION ROAD,E07000012,1. Yes,166
20170106,17147209,554930,247550,,,3. Slight,4. Frost/Ice,6. Darkness: no street lighting,1,0,0,0,0,0,0. No turn,06:35,1,3. A,1307,3. Dual carriageway,60,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,8. Other,0. None,0. None,6. Friday,,CAMBRIDGE ROAD A1307 HIGH STREET,E07000012,1. Yes,139
20170106,17147398,525668,255154,,,3. Slight,2. Wet/Damp,6. Darkness: no street lighting,1,0,0,0,1,0,0. No turn,20:00,1,6. Unclassified,,6. Single carriageway,60,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,8. Other,0. None,0. None,6. Friday,,WARESLEY ROAD NEAR JN WITH MEADOW ROAD,E07000011,1. Yes,0
20170106,17146965,546152,252282,,,3. Slight,2. Wet/Damp,4. Darkness: street lights present and lit,1,0,1,0,0,0,0. No turn,16:30,2,5. C,284,6. Single carriageway,30,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,6. Friday,,HIGH STREET GT SHELFORD,E07000012,2. No - accident was reported 'over the counter',99
20170107,17147458,545757,258205,,,3. Slight,2. Wet/Damp,4. Darkness: street lights present and lit,3,0,0,0,0,0,0. No turn,17:00,3,3. A,603,6. Single carriageway,30,6. Crossroads,4. Give way or Uncontrolled,6. Unclassified,0,0. None,"4. Pelican, puffin, toucan etc.",2. Raining without high winds,0. None,0. None,7. Saturday,,EAST ROAD A603 20 METRES NORTH OF JUNCTION WITH MILL ROAD,E07000008,2. No - accident was reported 'over the counter',37
20170107,17148710,535037,267557,,,3. Slight,2. Wet/Damp,7. Darkness: street lighting unknown,1,0,0,0,0,0,0. No turn,18:55,1,6. Unclassified,0,6. Single carriageway,60,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,7. Fog or mist,0. None,0. None,7. Saturday,,FEN DRAYTON ROAD 65M NORTH OF ROSE AND CROWN ROAD,E07000012,1. Yes,215
20170107,17191112,546321,259983,,,3. Slight,2. Wet/Damp,4. Darkness: street lights present and lit,2,0,0,0,0,2,0. No turn,19:00,4,6. Unclassified,0,6. Single carriageway,30,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,8. Other,0. None,0. None,7. Saturday,,OUTSIDE 44 SCOTLAND ROAD,E07000008,1. Yes,37
20170107,17147078,546217,309946,,,3. Slight,2. Wet/Damp,1. Daylight,3,0,0,0,0,1,0. No turn,14:49,2,4. B,198,1. Roundabout,30,1. Roundabout,4. Give way or Uncontrolled,3. A,1101,0. None,0. None within 50m,8. Other,0. None,0. None,7. Saturday,,LYNN ROAD B198 JUNCTION COMING ONTO FREEDOM BRIDGE ROUNDABOUT A1101,E07000010,1. Yes,253
20170108,17147870,555949,287300,,,2. Serious,1. Dry,4. Darkness: street lights present and lit,1,0,0,0,1,0,0. No turn,20:30,3,6. Unclassified,0,6. Single carriageway,30,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,1. Sunday,,OUTSIDE NUMBER 108 WISBECH ROAD PAST ELM SIDE JUNCTION,E07000009,1. Yes,147
20170108,17147960,546311,310530,,,3. Slight,1. Dry,1. Daylight,1,0,1,0,0,0,2. Right turn,07:40,2,6. Unclassified,0,6. Single carriageway,30,3. T & Stag Jct,4. Give way or Uncontrolled,6. Unclassified,0,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,1. Sunday,,"MOUNT PLEASANT ROAD, EASTFIELD WAY T-JUNCTION",E07000010,2. No - accident was reported 'over the counter',253
20170108,17147506,513067,284733,,,3. Slight,2. Wet/Damp,1. Daylight,1,0,0,0,0,0,0. No turn,13:30,2,4. B,660,6. Single carriageway,60,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,8. Other,0. None,0. None,1. Sunday,,INFIELD ROAD B660 500M SOUTHWEST OF BULLOCK ROAD JUNCTION.,E07000011,2. No - accident was reported 'over the counter',96
20170109,17147746,517280,283490,,,3. Slight,2. Wet/Damp,1. Daylight,1,0,0,0,0,0,0. No turn,14:50,2,6. Unclassified,0,1. Roundabout,30,1. Roundabout,4. Give way or Uncontrolled,6. Unclassified,0,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,2. Monday,,"FEN LANE, MOYNE ROAD ROUNDABOUT",E07000011,1. Yes,191
20170109,17147821,547920,277378,,,3. Slight,2. Wet/Damp,6. Darkness: no street lighting,1,0,0,0,0,0,0. No turn,18:00,1,6. Unclassified,0,6. Single carriageway,30,6. Crossroads,4. Give way or Uncontrolled,6. Unclassified,0,0. None,0. None within 50m,8. Other,0. None,0. None,2. Monday,,"CHURCH ROAD AND POOLS ROAD T-JUNCTION, WILBURTON",E07000009,1. Yes,248
20170109,17147962,522160,272888,,,3. Slight,2. Wet/Damp,6. Darkness: no street lighting,1,0,0,0,1,0,0. No turn,16:09,2,3. A,14,3. Dual carriageway,30,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,2. Raining without high winds,0. None,0. None,2. Monday,,WESTBOUND A14 SPITTALS INTERCHANGE,E07000011,2. No - accident was reported 'over the counter',126
20170109,17148048,527290,297141,,,3. Slight,1. Dry,4. Darkness: street lights present and lit,1,0,0,0,0,0,0. No turn,19:56,2,4. B,1093,1. Roundabout,30,1. Roundabout,4. Give way or Uncontrolled,3. A,605,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,2. Monday,,ROUNDABOUT A605 JUNCTION WITH B1093,E07000010,1. Yes,245
20170109,17148061,537920,245281,,,3. Slight,1. Dry,1. Daylight,1,0,0,0,0,0,0. No turn,10:30,2,3. A,10,6. Single carriageway,60,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,2. Monday,,A10,E07000012,2. No - accident was reported 'over the counter',158
20170109,17148748,546535,261955,,,2. Serious,2. Wet/Damp,4. Darkness: street lights present and lit,1,0,1,0,0,0,1. Left turn,16:20,2,6. Unclassified,0,6. Single carriageway,30,3. T & Stag Jct,4. Give way or Uncontrolled,6. Unclassified,0,0. None,0. None within 50m,5. Raining with high winds,0. None,0. None,2. Monday,,"CAMBRIDGE SCIENCE, PARK ROAD AND UNNAMED ROAD TO MUNDI PHARMA JUNCTION",E07000012,2. No - accident was reported 'over the counter',160
20170109,17143546,562603,246642,,,1. Fatal,2. Wet/Damp,1. Daylight,4,0,0,0,2,0,0. No turn,14:55,2,3. A,1307,6. Single carriageway,60,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,2. Raining without high winds,0. None,0. None,2. Monday,,"A1307 PARK HILL, 200 M EAST OF HORSEHEATH GREEN",E07000012,1. Yes,124
20170110,17148205,540495,304160,,,3. Slight,1. Dry,1. Daylight,2,0,0,0,0,0,0. No turn,10:55,2,6. Unclassified,0,6. Single carriageway,40,9. Other,4. Give way or Uncontrolled,6. Unclassified,0,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,3. Tuesday,,HIGH ROAD AND SELWYN CORNER  JUNCTION,E07000010,1. Yes,254
20170110,17148302,547822,261794,,,3. Slight,1. Dry,1. Daylight,1,0,0,0,0,0,0. No turn,08:30,2,3. A,14,3. Dual carriageway,70,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,3. Tuesday,,JUNCTION 33-34 WESTBOUND A14,E07000008,2. No - accident was reported 'over the counter',37
20170110,17148138,524727,272096,,,3. Slight,1. Dry,1. Daylight,1,0,0,1,0,0,0. No turn,08:30,2,4. B,1514,6. Single carriageway,30,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,4. Fine with high winds,0. None,0. None,3. Tuesday,,HARTFORD ROAD 80M NORTH EAST OF EAST STREET,E07000011,2. No - accident was reported 'over the counter',126
20170111,17148350,528423,260506,,,3. Slight,2. Wet/Damp,4. Darkness: street lights present and lit,2,0,0,0,0,0,2. Right turn,21:00,2,3. A,428,6. Single carriageway,60,3. T & Stag Jct,4. Give way or Uncontrolled,6. Unclassified,0,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,4. Wednesday,,TOPHAM FARM JUNCTION CAMBRIDGE ROAD A428,E07000012,1. Yes,71
20170111,17148466,526249,270292,,,3. Slight,1. Dry,1. Daylight,2,0,0,0,0,0,0. No turn,08:38,3,3. A,14,3. Dual carriageway,70,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,4. Wednesday,,A14 700 METRES WEST OF JUNCTION WITH A1198,E07000011,1. Yes,126
20170111,17148506,545839,257011,,,3. Slight,2. Wet/Damp,4. Darkness: street lights present and lit,1,1,0,0,0,1,2. Right turn,06:30,1,5. C,281,6. Single carriageway,30,3. T & Stag Jct,4. Give way or Uncontrolled,6. Unclassified,0,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,4. Wednesday,,BROOKLANDS AVENUE JUNCTION WITH CLARENDON ROAD,E07000008,2. No - accident was reported 'over the counter',37
20170111,17148551,549683,245627,,,3. Slight,1. Dry,1. Daylight,1,0,1,0,0,0,2. Right turn,07:45,2,3. A,1301,6. Single carriageway,50,6. Crossroads,4. Give way or Uncontrolled,6. Unclassified,0,0. None,0. None within 50m,4. Fine with high winds,0. None,0. None,4. Wednesday,,A1301 CROSSROADS WITH NORTH END ROAD,E07000012,1. Yes,119
20170111,17149714,517883,281708,,,3. Slight,2. Wet/Damp,4. Darkness: street lights present and lit,2,0,0,0,0,0,0. No turn,06:29,2,2. A(M),1,3. Dual carriageway,70,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,4. Wednesday,, SOUTHBOUND A(M)1 NEAR JUNCTION WITH B1043,E07000011,1. Yes,191
20170111,17150356,541294,259401,,,2. Serious,2. Wet/Damp,1. Daylight,1,0,1,0,1,0,0. No turn,07:34,2,3. A,1303,6. Single carriageway,40,3. T & Stag Jct,4. Give way or Uncontrolled,5. C,200,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,4. Wednesday,,MADINGLEY ROAD A1303 AT JN WITH CAMBRIDGE ROAD,E07000012,1. Yes,52
20170111,17152826,528926,282422,,,3. Slight,1. Dry,6. Darkness: no street lighting,4,0,0,0,1,0,0. No turn,21:00,2,4. B,1040,6. Single carriageway,60,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,4. Wednesday,,SHILLOW HILL B1040 30M SOUTH OF SHILLHOW BARN,E07000011,1. Yes,255
20170111,17182071,545925,309667,,,3. Slight,1. Dry,1. Daylight,1,1,0,0,0,0,0. No turn,16:16,1,5. C,312,2. One way street,30,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,4. Wednesday,,OUTSIDE 7-9 SURGERY NORTH BRINK,E07000010,1. Yes,253
20170112,17148703,543607,278681,,,3. Slight,1. Dry,1. Daylight,1,0,1,0,0,0,2. Right turn,09:15,2,4. B,1381,6. Single carriageway,30,3. T & Stag Jct,4. Give way or Uncontrolled,5. C,124,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,5. Thursday,,THE AMERICA B1381 BURY LANE,E07000009,2. No - accident was reported 'over the counter',211
20170112,17148890,534720,255820,,,3. Slight,4. Frost/Ice,6. Darkness: no street lighting,1,0,0,0,0,0,0. No turn,18:44,1,4. B,1046,6. Single carriageway,60,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,2. Raining without high winds,0. None,0. None,5. Thursday,,B1046 100 METRES WEST OF JUNCTION WITH CHURCH LANE,E07000011,1. Yes,35
20170112,17149401,534811,277757,,,3. Slight,2. Wet/Damp,6. Darkness: no street lighting,1,0,0,0,0,0,0. No turn,23:27,1,4. B,1086,6. Single carriageway,60,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,5. Thursday,,OUTSIDE LAWN COTTAGE ST IVES ROAD,E07000011,1. Yes,198
20170112,17148688,543803,259790,,,3. Slight,2. Wet/Damp,1. Daylight,1,0,1,0,0,1,1. Left turn,16:45,2,6. Unclassified,0,6. Single carriageway,30,3. T & Stag Jct,4. Give way or Uncontrolled,3. A,1307,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,5. Thursday,,"OXFORD ROAD, HUNTINGDON ROAD T-JUNCTION",E07000008,2. No - accident was reported 'over the counter',37
20170113,17148916,554188,279761,,,2. Serious,2. Wet/Damp,7. Darkness: street lighting unknown,1,0,1,0,0,0,2. Right turn,06:26,2,5. C,318,6. Single carriageway,30,3. T & Stag Jct,4. Give way or Uncontrolled,5. C,140,0. None,0. None within 50m,8. Other,0. None,0. None,6. Friday,,BACK HILL JUNCTION WITH BROAD STREET,E07000009,1. Yes,73
20170113,17149423,513816,293976,,,3. Slight,2. Wet/Damp,1. Daylight,1,0,0,0,1,0,0. No turn,08:30,2,3. A,605,3. Dual carriageway,60,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,6. Snowing with high winds,0. None,0. None,6. Friday,,NEAR HADDON SERVICES EASTBOUND A605,E07000011,1. Yes,104
20170113,17148857,525078,269741,,,3. Slight,2. Wet/Damp,1. Daylight,1,0,0,1,0,0,2. Right turn,10:45,2,6. Unclassified,0,6. Single carriageway,30,8. Pri Drive,4. Give way or Uncontrolled,6. Unclassified,0,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,6. Friday,,LONDON ROAD BY ENTRANCE CHORD PARK IND. ESTATE PARK,E07000011,1. Yes,126
20170114,17149074,545097,259986,,,2. Serious,1. Dry,1. Daylight,1,0,1,0,0,0,0. No turn,15:00,2,5. C,289,6. Single carriageway,30,3. T & Stag Jct,4. Give way or Uncontrolled,6. Unclassified,0,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,7. Saturday,,GILBERT ROAD AT JN WITH COURTNEY WAY,E07000008,2. No - accident was reported 'over the counter',37
20170114,17151177,565565,262747,,,3. Slight,2. Wet/Damp,4. Darkness: street lights present and lit,1,0,0,0,0,0,0. No turn,23:18,1,5. C,230,6. Single carriageway,30,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,7. Saturday,,OUTSIDE 33 DUCHESS DRIVE,E07000009,1. Yes,259
20170114,17148949,546403,309402,,,3. Slight,2. Wet/Damp,4. Darkness: street lights present and lit,1,1,0,0,0,0,0. No turn,02:31,1,6. Unclassified,0,2. One way street,30,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,7. Saturday,,NORFOLK STREET,E07000010,2. No - accident was reported 'over the counter',253
20170115,17150450,546412,261199,,,3. Slight,1. Dry,4. Darkness: street lights present and lit,2,0,0,0,0,0,2. Right turn,20:10,2,6. Unclassified,0,6. Single carriageway,30,3. T & Stag Jct,4. Give way or Uncontrolled,6. Unclassified,0,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,1. Sunday,,OUTSIDE NUMBER 72 KINGS HEDGES ROAD BY JUNCTION WITH CAMPKIN ROAD,E07000008,1. Yes,37
20170115,17149212,545268,259481,,,3. Slight,2. Wet/Damp,4. Darkness: street lights present and lit,1,0,1,0,0,1,0. No turn,17:05,2,3. A,1134,2. One way street,30,7. Junction - more than 4 arms (not a roundabout),2. Automatic traffic signal,3. A,1303,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,1. Sunday,,MITCHAMS CORNER,E07000008,2. No - accident was reported 'over the counter',37
20170116,17153035,534108,303965,,,3. Slight,2. Wet/Damp,1. Daylight,3,0,0,0,0,0,0. No turn,07:48,4,3. A,47,6. Single carriageway,60,0. Not within 20m of junction,. Not applicable,. Not applicable,,0. None,0. None within 50m,2. Raining without high winds,0. None,0. None,2. Monday,,MAIN ROAD A47 NEAR JUNCTION WITH CROSS GUNS ROAD,E07000010,1. Yes,254
